Var1,Var2
738935.065972222,2
738935.069444444,2
738935.072916667,2
738935.076388889,2
738935.079861111,2
738935.083333333,2
738935.086805556,2
738935.090277778,2
738935.09375,2
738935.097222222,2
738935.100694444,2
738935.104166667,2
738935.107638889,2
738935.111111111,2
738935.114583333,2
738935.118055556,2
738935.121527778,2
738935.125,2
738935.128472222,2
738935.131944444,2
738935.135416667,2
738935.138888889,2
738935.142361111,2
738935.145833333,2
738935.149305556,2
738935.152777778,2
738935.15625,2
738935.159722222,2
738935.163194444,2
738935.166666667,2
738935.170138889,2
738935.173611111,2
738935.177083333,2
738935.180555556,2
738935.184027778,2
738935.1875,2
738935.190972222,2
738935.194444444,2
738935.197916667,2
738935.201388889,2
738935.204861111,2
738935.208333333,2
738935.211805556,2
738935.215277778,2
738935.21875,2
738935.222222222,2
738935.225694444,2
738935.229166667,2
738935.232638889,2
738935.236111111,2
738935.239583333,2
738935.243055556,2
738935.246527778,2
738935.25,2
738935.253472222,2
738935.256944444,2
738935.260416667,2
738935.263888889,2
738935.267361111,2
738935.270833333,2
738935.274305556,2
738935.277777778,2
738935.28125,2
738935.284722222,2
738935.288194444,2
738935.291666667,2
738935.295138889,2
738935.298611111,2
738935.302083333,2
738935.305555556,2
738935.309027778,2
738935.3125,2
738935.315972222,2
738935.319444444,2
738935.322916667,2
738935.326388889,2
738935.329861111,2
738935.333333333,2
738935.336805556,2
738935.340277778,2
738935.34375,2
738935.347222222,2
738935.350694444,2
738935.354166667,2
738935.357638889,2
738935.361111111,2
738935.364583333,2
738935.368055556,2
738935.371527778,2
738935.375,2
738935.378472222,2
738935.381944444,2
738935.385416667,2
738935.388888889,2
738935.392361111,2
738935.395833333,2
738935.399305556,2
738935.402777778,2
738935.40625,2
738935.409722222,2
738935.413194444,2
738935.416666667,2
738935.420138889,2
738935.423611111,2
738935.427083333,2
738935.430555556,2
738935.434027778,2
738935.4375,2
738935.440972222,2
738935.444444444,2
738935.447916667,2
738935.451388889,2
738935.454861111,2
738935.458333333,2
738935.461805556,2
738935.465277778,2
738935.46875,2
738935.472222222,2
738935.475694444,2
738935.479166667,2
738935.482638889,2
738935.486111111,2
738935.489583333,2
738935.493055556,2
738935.496527778,2
738935.5,2
738935.503472222,2
738935.506944444,2
738935.510416667,2
738935.513888889,2
738935.517361111,2
738935.520833333,2
738935.524305556,2
738935.527777778,3
738935.53125,3
738935.534722222,3
738935.538194444,3
738935.541666667,0
738935.545138889,3
738935.548611111,3
738935.552083333,3
738935.555555556,3
738935.559027778,3
738935.5625,3
738935.565972222,3
738935.569444444,3
738935.572916667,3
738935.576388889,3
738935.579861111,3
738935.583333333,1
738935.586805556,3
738935.590277778,3
738935.59375,1
738935.597222222,3
738935.600694444,1
738935.604166667,1
738935.607638889,3
738935.611111111,3
738935.614583333,3
738935.618055556,3
738935.621527778,3
738935.625,3
738935.628472222,3
738935.631944444,1
738935.635416667,3
738935.638888889,3
738935.642361111,3
738935.645833333,3
738935.649305556,3
738935.652777778,3
738935.65625,3
738935.659722222,3
738935.663194444,3
738935.666666667,1
738935.670138889,3
738935.673611111,3
738935.677083333,3
738935.680555556,1
738935.684027778,1
738935.6875,3
738935.690972222,3
738935.694444444,3
738935.697916667,1
738935.701388889,3
738935.704861111,1
738935.708333333,1
738935.711805556,3
738935.715277778,3
738935.71875,3
738935.722222222,3
738935.725694444,2
738935.729166667,3
738935.732638889,3
738935.736111111,1
738935.739583333,2
738935.743055556,2
738935.746527778,2
738935.75,2
738935.753472222,2
738935.756944444,2
738935.760416667,2
738935.763888889,2
738935.767361111,2
738935.770833333,2
738935.774305556,2
738935.777777778,2
738935.78125,2
738935.784722222,2
738935.788194444,2
